date,usage
2022-04-30-19-17,34
2022-04-30-19-18,32
2022-04-30-19-19,32
2022-04-30-19-20,31
2022-04-30-19-21,31
2022-04-30-19-22,34
2022-04-30-19-23,35
2022-04-30-19-24,35
2022-04-30-19-25,36
2022-04-30-19-26,37
2022-04-30-19-27,38
2022-04-30-19-28,40
2022-04-30-19-29,39
2022-04-30-19-30,39
2022-04-30-19-31,40
2022-04-30-19-32,40
2022-04-30-19-33,38
2022-04-30-19-34,39
2022-04-30-19-35,40
2022-04-30-19-36,41
2022-04-30-19-37,39
2022-04-30-19-38,36
2022-04-30-19-39,37
2022-04-30-19-40,36
2022-04-30-19-41,35
2022-04-30-19-42,35
2022-04-30-19-43,35
2022-04-30-19-44,36
2022-04-30-19-45,36
2022-04-30-19-46,35
2022-04-30-19-47,35
2022-04-30-19-48,35
2022-04-30-19-49,35
2022-04-30-19-50,33
2022-04-30-19-51,32
2022-04-30-19-52,31
2022-04-30-19-53,31
2022-04-30-19-54,30
2022-04-30-19-55,30
2022-04-30-19-56,27
2022-04-30-19-57,26
2022-04-30-19-58,27
2022-04-30-19-59,27
2022-04-30-20-00,28
2022-04-30-20-01,26
2022-04-30-20-02,28
2022-04-30-20-03,27
2022-04-30-20-04,28
2022-04-30-20-05,28
2022-04-30-20-06,29
2022-04-30-20-07,28
2022-04-30-20-08,32
2022-04-30-20-09,30
2022-04-30-20-10,30
2022-04-30-20-11,30
2022-04-30-20-12,29
2022-04-30-20-13,29
2022-04-30-20-14,29
2022-04-30-20-15,30
2022-04-30-20-16,30
2022-04-30-20-17,29
2022-04-30-20-18,30
2022-04-30-20-19,30
2022-04-30-20-20,31
2022-04-30-20-21,32
2022-04-30-20-22,30
2022-04-30-20-23,30
2022-04-30-20-24,32
2022-04-30-20-25,32
2022-04-30-20-26,33
2022-04-30-20-27,35
2022-04-30-20-28,36
2022-04-30-20-29,36
2022-04-30-20-30,38
2022-04-30-20-31,38
2022-04-30-20-32,41
2022-04-30-20-33,43
2022-04-30-20-34,42
2022-04-30-20-35,42
2022-04-30-20-36,41
2022-04-30-20-37,40
2022-04-30-20-38,42
2022-04-30-20-39,43
2022-04-30-20-40,42
2022-04-30-20-41,42
2022-04-30-20-42,43
2022-04-30-20-43,39
2022-04-30-20-44,37
2022-04-30-20-45,35
2022-04-30-20-46,36
2022-04-30-20-47,38
2022-04-30-20-48,39
2022-04-30-20-49,39
2022-04-30-20-50,39
2022-04-30-20-51,40
2022-04-30-20-52,40
2022-04-30-20-53,40
2022-04-30-20-54,39
2022-04-30-20-55,39
2022-04-30-20-56,39
2022-04-30-20-57,39
2022-04-30-20-58,40
2022-04-30-20-59,40
2022-04-30-21-00,40
2022-04-30-21-01,38
2022-04-30-21-02,38
2022-04-30-21-03,37
2022-04-30-21-04,38
2022-04-30-21-05,39
2022-04-30-21-06,40
2022-04-30-21-07,40
2022-04-30-21-08,41
2022-04-30-21-09,40
2022-04-30-21-10,41
2022-04-30-21-11,42
2022-04-30-21-12,42
2022-04-30-21-13,42
2022-04-30-21-14,40
2022-04-30-21-15,40
2022-04-30-21-16,39
2022-04-30-21-17,39
2022-04-30-21-18,40
2022-04-30-21-19,39
2022-04-30-21-20,39
2022-04-30-21-21,39
2022-04-30-21-22,38
2022-04-30-21-23,37
2022-04-30-21-24,37
2022-04-30-21-25,37
2022-04-30-21-26,36
2022-04-30-21-27,36
2022-04-30-21-28,36
2022-04-30-21-29,35
2022-04-30-21-30,35
2022-04-30-21-31,37
2022-04-30-21-32,39
2022-04-30-21-33,36
2022-04-30-21-34,36
2022-04-30-21-35,37
2022-04-30-21-36,38
2022-04-30-21-37,41
2022-04-30-21-38,40
2022-04-30-21-39,40
2022-04-30-21-40,41
2022-04-30-21-41,42
2022-04-30-21-42,41
2022-04-30-21-43,41
2022-04-30-21-44,41
2022-04-30-21-45,40
2022-04-30-21-46,38
2022-04-30-21-47,39
2022-04-30-21-48,38
2022-04-30-21-49,38
2022-04-30-21-50,38
2022-04-30-21-51,38
2022-04-30-21-52,39
2022-04-30-21-53,38
2022-04-30-21-54,39
2022-04-30-21-55,39
2022-04-30-21-56,39
2022-04-30-21-57,40
2022-04-30-21-58,38
2022-04-30-21-59,39
2022-04-30-22-00,39
2022-04-30-22-01,39
2022-04-30-22-02,40
2022-04-30-22-03,40
2022-04-30-22-04,40
2022-04-30-22-05,38
2022-04-30-22-06,40
2022-04-30-22-07,39
2022-04-30-22-08,39
2022-04-30-22-09,39
2022-04-30-22-10,37
2022-04-30-22-11,36
2022-04-30-22-12,36
2022-04-30-22-13,35
2022-04-30-22-14,36
2022-04-30-22-15,36
2022-04-30-22-16,36
2022-04-30-22-17,35
2022-04-30-22-18,36
2022-04-30-22-19,37
2022-04-30-22-20,38
2022-04-30-22-21,38
2022-04-30-22-22,37
2022-04-30-22-23,36
2022-04-30-22-24,36
2022-04-30-22-25,35
2022-04-30-22-26,35
2022-04-30-22-27,35
2022-04-30-22-28,37
2022-04-30-22-29,34
2022-04-30-22-30,34
2022-04-30-22-31,33
2022-04-30-22-32,32
2022-04-30-22-33,32
2022-04-30-22-34,32
2022-04-30-22-35,31
2022-04-30-22-36,31
2022-04-30-22-37,30
2022-04-30-22-38,32
2022-04-30-22-39,33
2022-04-30-22-40,33
2022-04-30-22-41,32
2022-04-30-22-42,32
2022-04-30-22-43,33
2022-04-30-22-44,33
2022-04-30-22-45,35
2022-04-30-22-46,38
2022-04-30-22-47,39
2022-04-30-22-48,38
2022-04-30-22-49,38
2022-04-30-22-50,34
2022-04-30-22-51,34
2022-04-30-22-52,36
2022-04-30-22-53,35
2022-04-30-22-54,35
2022-04-30-22-55,35
2022-04-30-22-56,35
2022-04-30-22-57,35
2022-04-30-22-58,35
2022-04-30-22-59,35
2022-04-30-23-00,35
2022-04-30-23-01,35
2022-04-30-23-02,36
2022-04-30-23-03,37
2022-04-30-23-04,37
2022-04-30-23-05,35
2022-04-30-23-06,35
2022-04-30-23-07,34
2022-04-30-23-08,34
2022-04-30-23-09,35
2022-04-30-23-10,34
2022-04-30-23-11,34
2022-04-30-23-12,34
2022-04-30-23-13,35
2022-04-30-23-14,33
